ncm;aliquota_icms;aliquota_ipi;aliquota_pis;aliquota_cofins
33029019;0.00;3.25;0.55;2.50
33029019;0.00;3.25;0.65;3.00
33029019;4.00;0.00;1.65;7.60
33029019;4.00;3.25;0.65;3.00
33029019;4.00;3.25;1.65;7.60
33029019;7.00;3.25;0.65;3.00
33029019;20.50;3.25;1.65;7.60
33029099;0.00;0.00;1.65;7.60
33029099;4.00;0.00;1.65;7.60
33029099;4.00;3.25;1.65;7.60
33043000;18.00;14.30;1.65;7.60
33051000;0.00;4.55;0.65;3.00
33051000;0.00;4.55;1.65;7.60
33072090;4.00;4.55;1.65;7.60
33074100;18.00;14.30;1.65;7.60
33074100;25.00;14.30;1.65;7.60
33074900;18.00;22.00;1.65;7.60
33079000;25.00;14.30;1.65;7.60
34011110;18.00;3.25;1.65;7.60
34011190;0.00;0.00;1.65;7.60
34011190;18.00;0.00;1.65;7.60
34011190;20.50;0.00;1.65;7.60
34011900;18.00;3.25;1.65;7.60
34011901;18.00;10.00;1.65;7.60
34012010;20.50;3.25;1.65;7.60
34021130;18.00;0.00;1.65;7.60
34021190;18.00;5.00;1.65;7.60
34021300;18.00;5.00;1.65;7.60
34021900;18.00;0.00;1.65;7.60
34023100;0.00;3.25;1.65;7.60
34023100;4.00;3.25;1.65;7.60
34023100;7.00;3.25;1.65;7.60
34023100;20.50;3.25;1.65;7.60
34023910;0.00;3.25;1.65;7.60
34023990;0.00;3.25;1.65;7.60
34023990;4.00;3.25;0.00;0.00
34023990;4.00;3.25;1.65;7.60
34023990;20.50;3.25;1.65;7.60
34024200;0.00;3.25;1.65;7.60
34024200;4.00;3.25;1.65;7.60
34024200;20.50;3.25;1.65;7.60
34024900;0.00;0.00;0.00;7.60
34024900;0.00;3.25;1.65;7.60
34024900;4.00;3.25;1.65;7.60
34024900;20.50;3.25;1.65;7.60
34025000;20.50;3.25;1.65;7.60
34029019;20.50;3.25;1.65;7.60
34029022;18.00;3.25;1.65;7.60
34029029;0.00;3.25;1.65;7.60
34029029;18.00;3.25;1.65;7.60
34029031;4.00;3.25;1.65;7.60
34029031;18.00;3.25;1.65;7.60
34029039;20.50;3.25;1.65;7.60
34029090;0.00;0.00;0.00;0.00
34029090;4.00;3.25;1.65;7.60
34029090;18.00;3.25;1.65;7.60
34049011;0.00;9.75;1.65;7.60
34049019;0.00;9.75;1.65;7.60
34049019;20.50;3.25;1.65;7.60
34049019;20.50;9.75;1.65;7.60
34051000;18.00;6.50;1.65;7.60
34052000;20.50;6.50;1.65;7.60
34053000;18.00;6.50;1.65;7.60
34054000;18.00;6.50;1.65;7.60
35051000;18.00;0.00;1.65;7.60
35061010;0.00;0.00;1.65;7.60
35061090;0.00;0.00;0.00;0.00
35061090;0.00;0.00;1.65;7.60
35061090;18.00;0.00;1.65;7.60
35069110;0.00;0.00;1.65;7.60
35069190;20.50;0.00;1.65;7.60
36061000;18.00;13.00;1.65;7.60
38029050;4.00;0.00;1.65;7.60
38051000;4.00;0.00;1.65;7.60
38059010;18.00;6.50;1.65;7.60
38059090;4.00;0.00;1.65;7.60
38062000;0.00;0.00;1.65;7.60
38085010;18.00;0.00;1.65;7.60
38085910;20.50;0.00;1.65;7.60
38089119;18.00;0.00;1.65;7.60
38089199;18.00;0.00;1.65;7.60
38089299;18.00;0.00;1.65;7.60
38089419;20.50;0.00;1.65;7.60
38089429;18.00;3.25;1.65;7.60
38089919;20.50;0.00;1.65;7.60
38089996;18.00;0.00;1.65;7.60
38089999;18.00;0.00;1.65;7.60
38099149;20.50;6.50;1.65;7.60
38099190;20.50;0.00;1.65;7.60
38101010;20.50;0.00;1.65;7.60
38140000;18.00;0.00;1.65;7.60
38140090;0.00;0.00;0.00;0.00
38140090;0.00;6.50;0.00;0.00
38190000;0.00;0.00;0.00;0.00
38190000;0.00;6.50;1.65;7.60
38200000;0.00;0.00;0.00;0.00
38220090;18.00;0.00;1.65;7.60
38221990;0.00;0.00;1.65;7.60
38229000;0.00;0.00;0.00;0.00
38229000;0.00;0.00;0.65;3.00
38229000;0.00;0.00;1.65;7.60
38231900;18.00;0.00;1.65;7.60
38231990;0.00;0.00;1.65;7.60
38237010;18.00;0.00;1.65;7.60
38249049;18.00;0.00;1.65;7.60
38249100;0.00;6.50;1.65;7.60
38249922;4.00;0.00;1.65;7.60
38249922;4.00;6.50;1.65;7.60
38249929;0.00;6.50;1.65;7.60
38249941;0.00;0.00;0.00;0.00
38249941;0.00;0.00;0.65;3.00
38249941;18.00;0.00;1.65;7.60
38249941;20.50;0.00;1.65;7.60
38249986;0.00;0.00;1.65;7.60
38249986;0.00;6.50;1.65;7.60
39021020;18.00;3.25;1.65;7.60
39039090;18.00;3.25;1.65;7.60
39053000;0.00;3.25;1.65;7.60
39053000;18.00;3.25;1.65;7.60
39069011;0.00;3.25;1.65;7.60
39069019;0.00;3.25;1.65;7.60
39069019;18.00;3.25;1.65;7.60
39069039;7.00;3.25;1.65;7.60
39069043;20.50;3.25;1.65;7.60
39069047;4.00;3.25;1.65;7.60
39069049;18.00;0.00;1.65;7.60
39069053;0.00;3.25;1.65;7.60
39069053;20.50;3.25;1.65;7.60
39069063;0.00;3.25;1.65;7.60
39079100;0.00;3.25;0.65;3.00
39079100;0.00;3.25;1.65;7.60
39100012;18.00;3.25;1.65;7.60
39100019;0.00;3.25;1.65;7.60
39100019;4.00;3.25;1.65;7.60
39100019;20.50;3.25;1.65;7.60
39123119;0.00;3.25;1.65;7.60
39123119;4.00;3.25;1.65;7.60
39123119;20.50;3.25;1.65;7.60
39123910;0.00;3.25;1.65;7.60
39123910;18.00;3.25;1.65;7.60
39123920;0.00;3.25;1.65;7.60
39162000;0.00;0.00;0.00;0.00
39162000;0.00;0.00;0.65;3.00
39162000;0.00;6.50;0.65;3.00
39162000;0.00;6.50;1.65;7.60
39172290;0.00;0.00;0.00;0.00
39172290;0.00;0.00;1.65;7.60
39172300;0.00;0.00;0.00;0.00
39172300;0.00;0.00;1.65;7.60
39172900;0.00;0.00;0.00;0.00
39173100;0.00;0.00;1.65;7.60
39173100;0.00;3.25;1.65;7.60
39173290;0.00;0.00;0.00;0.00
39173290;0.00;0.00;1.65;7.60
39173290;0.00;3.25;0.00;0.00
39173290;0.00;3.25;1.65;7.60
39173300;0.00;3.25;1.65;7.60
39173900;0.00;3.25;1.65;7.60
39173900;18.00;3.25;1.65;7.60
39174090;0.00;0.00;0.00;0.00
39174090;0.00;0.00;0.65;3.00
39174090;0.00;0.00;1.65;7.60
39181000;0.00;0.00;0.00;3.00
39191010;0.00;0.00;0.00;0.00
39191010;0.00;0.00;1.65;7.60
39191010;0.00;9.75;0.00;0.00
39191010;0.00;9.75;1.65;7.60
39191010;18.00;9.75;1.65;7.60
39191020;0.00;0.00;0.00;0.00
39191020;0.00;0.00;0.65;3.00
39191020;0.00;11.25;0.00;0.00
39199090;0.00;0.00;1.65;7.60
39199090;0.00;9.75;1.65;7.60
39199090;18.00;9.75;1.65;7.60
39201099;0.00;0.00;1.65;7.60
39201099;0.00;15.00;1.65;7.60
39201099;20.50;15.00;1.65;7.60
39202019;0.00;0.00;1.65;7.60
39203000;18.00;15.00;1.65;7.60
39209990;0.00;0.00;1.65;7.60
39209990;0.00;9.75;1.65;7.60
39211200;18.00;9.75;1.65;7.60
39211900;0.00;0.00;1.65;7.60
39219012;0.00;0.00;0.00;0.00
39219012;0.00;0.00;0.65;3.00
39219012;0.00;0.00;1.65;7.60
39219012;0.00;9.75;0.65;3.00
39219012;0.00;9.75;1.65;7.60
39219012;12.00;9.75;0.65;3.00
39219090;0.00;0.00;0.00;0.00
39229000;18.00;0.00;1.65;7.60
39231010;0.00;0.00;0.00;0.00
39231010;0.00;0.00;0.65;3.00
39231010;0.00;9.75;1.65;7.60
39231090;0.00;0.00;1.65;7.60
39231090;0.00;9.75;1.65;7.60
39232110;0.00;9.75;0.65;3.00
39232110;18.00;9.75;1.65;7.60
39232190;0.00;0.00;0.00;0.00
39232190;18.00;9.75;1.65;7.60
39232190;22.50;9.75;1.65;7.60
39233010;18.00;9.75;1.65;7.60
39233090;0.00;0.00;0.00;0.00
39233090;0.00;0.00;0.65;3.00
39233090;0.00;0.00;1.65;7.60
39233090;0.00;9.75;0.00;0.00
39233090;0.00;9.75;0.65;3.00
39233090;0.00;9.75;1.65;7.60
39233090;12.00;9.75;0.65;3.00
39233090;20.50;9.75;1.65;7.60
39235000;0.00;0.00;0.00;0.00
39235000;0.00;0.00;0.65;3.00
39235000;0.00;0.00;1.65;7.60
39235000;0.00;5.00;0.65;3.00
39235000;0.00;5.00;1.65;7.60
39235000;4.00;5.00;1.65;7.60
39235000;12.00;5.00;0.65;3.00
39235000;20.50;5.00;1.65;7.60
39239000;18.00;10.00;1.65;7.60
39239090;0.00;15.00;1.65;7.60
39241000;0.00;0.00;0.00;0.00
39241000;18.00;6.50;1.65;7.60
39241000;22.50;0.00;0.00;0.00
39241000;22.50;0.00;1.65;7.60
39241000;22.50;6.50;1.65;7.60
39249000;0.00;0.00;1.65;7.60
39249000;18.00;6.50;1.65;7.60
